name,description,price,currency,rating,reviews_count,availability,url,image_url,source,scraped_at,confidence
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",,500.0,INR,4.2,36,Out of Stock,https://www.amazon.in/s?k=power+bank&rh=p_36%3A-500000,,meta,2026-04-01T13:33:50.486259Z,0.565
"ZEBRONICS MB10000S4 Power Bank, 10000 mAh, 12W, Dual USB Output, Type C & Micro USB Input, Built in Protections, Percentage LED Display, Included USB to Type C Cable, Made in India(Black) 3.7",,549.0,,3.7,895.0,,https://www.amazon.in/ZEBRONICS-ZEB-MB10000S4-Percentage-Compatible-Protection/dp/B0C6M7Q9NB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-3,https://m.media-amazon.com/images/I/71JvRYPYejL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.650816Z,0.7498
Amazon's Choice URBN Power Bank 20000mAh Fast Charging | 22.5W Super Fast Power Delivery (PD) Portable Charger | Triple Output | USB Type C Input & Output | Pass Through Charging | (Black) 4.0,,999.0,,4.0,2400.0,,https://www.amazon.in/URBN-20000mAh-Charging-Delivery-Portable/dp/B0DQ4NYQZQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-4,https://m.media-amazon.com/images/I/71TUiV0TyiL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.651119Z,0.7498
"RAEGR 10000mAh MagFix M10x Wireless Power Bank, Fast Wired 20W PD Charging Upto 15W Magnetic Qi-Enabled Wireless Charging with Watch Charger, Type-C Input/Output, Universal Compatible - RG10586 Price, product page",,3599.0,,,,,https://www.amazon.in/RAEGR-MagFix-M10x-Qi-Enabled-Compatible/dp/B0DJ9971X1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-5,https://m.media-amazon.com/images/I/51EpRTGGa2L._AC_UY218_.jpg,dom,2026-04-01T13:34:02.651345Z,0.6006
"Best seller Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD |Smart 12 Layer Protection|Type C Input & Output|Triple Output Ports|Supports Android,Apple, Tablets, Earbuds,Watch(MI Powerbank),Black 4.2 4.2 out of",,2199.0,,4.2,,,https://www.amazon.in/Xiaomi-20000mAh-Charging-Delivery-Supports/dp/B0DCZ3WDTB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-6,https://m.media-amazon.com/images/I/41vBAaU8clL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.651952Z,0.6918
"Portronics Luxcell B12 10,000mAh 12W Power Bank, Ultra Slim Power Bank with USB-A Output Port & Dual Input Ports (Micro & Type C) | BIS Certified |Type C Cable Included|Made in India(Dark Blue) 3.6",,629.0,,3.6,443.0,,https://www.amazon.in/Portronics-Luxcell-000mAh-Certified-Included/dp/B0CTX6XJ3M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-7,https://m.media-amazon.com/images/I/61ielYy4Y3L._AC_UY218_.jpg,dom,2026-04-01T13:34:02.652233Z,0.7498
"Boat EnergyShroom PB300 Activ 10000mAh Power Bank with 22.5W Fast Charging, 3X Output Ports, Supports Android, iPhone, Tablets, Earbuds (Cerulean Blue) 4.0",,899.0,,4.0,54.0,,https://www.amazon.in/EnergyShroom-10000mAh-Charging-Supports-Cerulean/dp/B0GFWBV4YZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-8,https://m.media-amazon.com/images/I/719tcBRmrUL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.652503Z,0.7498
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Dark Blue) 4.0",,799.0,,4.0,3200.0,,https://www.amazon.in/Portronics-Luxcell-Charging-Output-Button/dp/B0CQK43DGH/ref=sr_1_9?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-9,https://m.media-amazon.com/images/I/51ligEBWh5L._AC_UY218_.jpg,dom,2026-04-01T13:34:02.652777Z,0.7498
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Black) 4.0",,999.0,,4.0,1200.0,,https://www.amazon.in/Charging-Devices-Simultaneously-Smartphones-Speakers/dp/B0D96JNKFN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-10,https://m.media-amazon.com/images/I/61D2km21WCL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.653066Z,0.7498
"Ambrane Magsafe Wireless 10000Mah Fast Charging USB Type-C Input Power Bank, Strong Magnet, 22.5W Output For iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue) 4.0 4.0 out of 5 st",,1499.0,,4.0,6900.0,,https://www.amazon.in/Ambrane-Wireless-10000mAh-Charging-Magnetic/dp/B0D9S87H53/ref=sr_1_13?dib=eyJ2IjoiMSJ9.it2Q_eNpklKKJu9XkqyG4ROVCGgFS8Z3xtYmjwUjJywOoI9nwta-HXzrnI1Od9E4gQKyNW_rnlwlUGT0XaF_E9e-ZQHMW_KnemV7NDrceJGnGlEF-HaNwK0a9jFhw4RBKJs0l7zqiZQDNAmUxcxIZxwJpLrJmpqkSTe-bMhMv2PQcgcD5XhwN9-P-ftFRoS3NnEjIO8ZSzjnuaAmLR5KhbGrXev6iznyYQnuMNbAGVY.rsPJ9h9rlQhQCC6xr-0L2gk_c1phd3fenwqQ-OndDec&dib_tag=se&keywords=power+bank&qid=1775050410&refinements=p_36%3A-500000&sr=8-13,https://m.media-amazon.com/images/I/61H84kDDNFL._AC_UY218_.jpg,dom,2026-04-01T13:34:02.653927Z,0.7498
