name,price,currency,rating,reviews_count,availability,url,image_url,source,scraped_at,confidence
"₹1,18,999₹1,18,999 M.R.P: ₹1,29,999M.R.P: ₹1,29,999₹1,29,999",118999.0,,,,Out of Stock,https://www.amazon.in/Samsung-Smartphone-Titanium-Snapdragon-ProVisual/dp/B0DSKMV3ZC/ref=sr_1_14?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-14,,dom,2026-04-01T09:25:49.593688Z,0.6522
"₹65,999₹65,999 M.R.P: ₹77,999M.R.P: ₹77,999₹77,999",65999.0,,,,Out of Stock,https://www.amazon.in/Samsung-Smartphone-Storage-ProVisual-Battery/dp/B0FNMN6D5K/ref=sr_1_13?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-13,,dom,2026-04-01T09:25:49.594003Z,0.6522
"iPhone 17 Pro Max 256 GB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Deep Blue 4.4 4.4 out of 5 stars (269) 200+ bough",149900.0,,4.4,4.0,Out of Stock,https://www.amazon.in/iPhone-Pro-Max-256-Promotion/dp/B0FQFV2XKS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-5,https://m.media-amazon.com/images/I/71R8VsJ07nL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.594630Z,0.8166
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Sky Blue 4.5 4.5 out of 5 stars (51) 300+ bought in pas",94990.0,,4.5,4.0,Out of Stock,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFJGP8S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-7,https://m.media-amazon.com/images/I/61Ce-6B6x+L._AC_UY218_.jpg,dom,2026-04-01T09:25:49.594913Z,0.8166
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Cloud White 4.5 4.5 out of 5 stars (11) 100+ bought in",94990.0,,4.5,4.0,Out of Stock,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFLWN5Z/ref=sr_1_9?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-9,https://m.media-amazon.com/images/I/61+0aSXsyGL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.595157Z,0.8166
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Light Gold 4.0 4.0 out of 5 stars (35) 200+ bought in p",119900.0,,4.0,4.0,Out of Stock,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFTV1NP/ref=sr_1_11?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-11,https://m.media-amazon.com/images/I/614MsdnfBxL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.595372Z,0.8166
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Space Black 4.4 4.4 out of 5 stars (36) 200+ bought in",101190.0,,4.4,4.0,Out of Stock,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFBDQJ1/ref=sr_1_15?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-15,https://m.media-amazon.com/images/I/61knPJtYRpL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.595574Z,0.8166
"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Cloud White 5.0 5.0 out of 5 stars (2) Price, product p",113990.0,,5.0,5.0,Out of Stock,https://www.amazon.in/iPhone-Air-512-GB-Promotion/dp/B0FQFJG6WN/ref=sr_1_17?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-17,https://m.media-amazon.com/images/I/61+0aSXsyGL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.595794Z,0.8166
"iPhone 17 Pro 1 TB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Cosmic Orange 4.5 4.5 out of 5 stars (350) 50+ bou",,,4.5,4.0,In Stock,https://www.amazon.in/iPhone-17-Pro-Promotion-Breakthrough/dp/B0FQG1VB5Y/ref=sr_1_3?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-3,https://m.media-amazon.com/images/I/71JGCn1z1TL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.597125Z,0.539
"iPhone 16e 512 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black 4.5 4.5 out of 5 stars (1.1K) Currently unavailable. See options",,,4.5,4.0,In Stock,https://www.amazon.in/iPhone-16e-512-Intelligence-Supersized/dp/B0DXQJ1M7H/ref=sr_1_4?dib=eyJ2IjoiMSJ9.QUITJXYydjEUkvbFygwMsyyRj5FLt5fApFxEYI_dRQjK592wMKMHf_gdHzBS0AHYM8NT-_egUa74GRNVOBmbZv41CnQ_kLDV2m-drXhB7G71Z0vft_laNH2GDmxBl2USXs5eycmTrdgIVweAjnvatK_Nj6EUJ41ZKTE82DmIFgIuKW23GyGfGb3CNp3_2WVlcdl5N7pIGGNBlLZT3wqSneN6Mkx-1tpFTheS23r2LNw.V8IgwOL-w38dKJBolfHQHP-sqZP3yG03NEEMOrGH4tM&dib_tag=se&keywords=iphone&qid=1775035541&sr=8-4,https://m.media-amazon.com/images/I/61FMZ9rSZUL._AC_UY218_.jpg,dom,2026-04-01T09:25:49.597321Z,0.539
