name,price,currency,rating,reviews_count,availability,url,image_url,source,scraped_at,confidence
Shoes- Buy Products Online at Best Price in India - All Categories | Flipkart.com,500.0,INR,,8632,In Stock,https://www.flipkart.com/search?q=shoes&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off,,meta,2026-04-01T10:08:01.198073Z,0.5954
Shoes- Buy Products Online at Best Price in India - All Categories | Flipkart.com,500.0,INR,,8632,In Stock,https://www.flipkart.com/search?q=shoes&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=2,,meta,2026-04-01T10:08:02.251095Z,0.5954
Shoes- Buy Products Online at Best Price in India - All Categories | Flipkart.com,500.0,INR,,8632,,https://www.flipkart.com/search?q=shoes&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=3,,meta,2026-04-01T10:08:08.356786Z,0.549
Shoes- Buy Products Online at Best Price in India - All Categories | Flipkart.com,500.0,INR,,8632,,https://www.flipkart.com/search?q=shoes&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=4,,meta,2026-04-01T10:08:08.911483Z,0.549
Shoes- Buy Products Online at Best Price in India - All Categories | Flipkart.com,500.0,INR,,8632,,https://www.flipkart.com/search?q=shoes&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off&page=5,,meta,2026-04-01T10:08:10.585125Z,0.549
